Site Identification  ,Plot,Day,Month,Year,Tree Identification Number,Number of Stems,Tree Species,DBH  (cm),Tree Condition
Identification du site,Parcelle,Jour,Mois,Année,Numéro d'identification de l'arbre ,Nombre de tiges,Espèce d'arbre,DHP (cm),État de l'arbre
CL,B,22,7,2014,16,1,FAGR,na,DF
CLT,A,20,10,2014,1,1,ACRU,15.6,AS
CLT,A,20,10,2014,2,1,ACRU,16.1,AS
CLT,A,20,10,2014,3,1,BEPA,19.5,AS
CLT,A,20,10,2014,4,1,PIST,13.8,AB
CLT,A,20,10,2014,5,1,ACRU,na,NF
CLT,A,20,10,2014,6,1,ACRU,16.4,AS
CLT,A,20,10,2014,7,1,ACRU,22.8,AS
CLT,A,20,10,2014,8,1,BEPA,18.5,AS
CLT,A,20,10,2014,9,1,BEPA,23.6,AS
CLT,A,20,10,2014,10,3,BEPA,13.2,DB
CLT,A,20,10,2014,10,2,BEPA,23.7,AS
CLT,A,20,10,2014,10,1,BEPA,26.1,AS
CLT,A,20,10,2014,11,1,BEPA,29.7,AS
CLT,A,20,10,2014,12,1,ACRU,na,DF
CLT,A,20,10,2014,13,1,ACRU,na,DF
CLT,A,20,10,2014,14,1,BEPA,na,DS
CLT,A,20,10,2014,15,1,BEPA,19.8,DS
CLT,A,20,10,2014,16,1,QURU,31.1,AS
CLT,A,20,10,2014,17,1,PIST,61.2,AS
CLT,A,20,10,2014,18,1,ACRU,12.6,AS
CLT,A,20,10,2014,19,1,ACRU,15.6,AS
CLT,A,20,10,2014,20,1,PIST,12.3,AS
CLT,A,20,10,2014,21,1,ACRU,12.5,AS
CLT,A,20,10,2014,22,1,ACRU,11.9,AS
CLT,A,20,10,2014,23,1,ACRU,na,DS
CLT,A,20,10,2014,24,1,QURU,25.5,AS
CLT,A,20,10,2014,25,1,ACRU,na,DF
CLT,A,20,10,2014,26,1,ACRU,10.1,AS
CLT,A,20,10,2014,27,1,PIST,24,AS
CLT,A,20,10,2014,28,1,PIRU,na,NF
CLT,A,20,10,2014,29,1,QURU,25.4,AS
CLT,A,20,10,2014,29,2,QURU,na,DS
CLT,A,20,10,2014,30,1,QURU,18.1,AS
CLT,A,20,10,2014,31,1,ACRU,na,DS
CLT,A,20,10,2014,32,1,ACRU,16,AS
CLT,A,20,10,2014,33,1,ACRU,14.3,AS
CLT,A,20,10,2014,34,1,PIST,14,AS
CLT,A,20,10,2014,35,1,ABBA,23.5,DS
CLT,A,20,10,2014,36,1,QURU,29.5,AS
CLT,A,20,10,2014,36,2,QURU,na,DS
CLT,A,20,10,2014,37,1,ACRU,9.5,AS
CLT,A,20,10,2014,38,1,PIST,18.4,AS
CLT,A,20,10,2014,39,1,ACRU,16.3,AS
CLT,A,20,10,2014,40,1,QURU,31,AS
CLT,A,20,10,2014,41,1,PIRU,16.5,AS
CLT,A,20,10,2014,42,1,PIST,na,NF
CLT,A,20,10,2014,43,1,ACRU,na,DS
CLT,A,20,10,2014,44,1,ACRU,16.8,AS
CLT,A,20,10,2014,45,1,PIST,na,NF
CLT,A,20,10,2014,46,1,ACRU,9.8,AS
CLT,A,20,10,2014,47,1,ACRU,11.2,AS
CLT,A,20,10,2014,48,1,PIST,11.8,AS
CLT,A,20,10,2014,49,1,PIST,10.1,AS
CLT,A,20,10,2014,50,1,ABBA,11.5,AS
CLT,B,20,10,2014,1,1,QURU,na,NF
CLT,B,20,10,2014,2,1,PIST,17.7,AS
CLT,B,20,10,2014,3,1,ACRU,na,NF
CLT,B,20,10,2014,3,1,PIRU,na,NF
CLT,B,20,10,2014,4,1,BEPA,24,AS
CLT,B,20,10,2014,5,1,POTR,62.8,AS
CLT,B,20,10,2014,6,1,PIST,13.4,AS
CLT,B,20,10,2014,8,1,BEPA,na,NF
CLT,B,20,10,2014,9,1,ACRU,19.4,AS
CLT,B,20,10,2014,10,1,ACRU,na,NF
CLT,B,20,10,2014,10,1,ABBA,15.2,AS
CLT,B,20,10,2014,11,1,ACRU,na,NF
CLT,B,20,10,2014,11,1,BEPA,27.5,DB
CLT,B,20,10,2014,12,1,ACRU,21.9,AS
CLT,B,20,10,2014,13,1,ACRU,19.8,AS
CLT,B,20,10,2014,16,1,QURU,26,AB
CLT,B,20,10,2014,17,1,QURU,28.6,AS
CLT,B,20,10,2014,18,1,ACRU,10,AS
CLT,B,20,10,2014,20,1,QURU,22.8,AS
CLT,B,20,10,2014,21,1,BEPA,27.2,DB
CLT,B,20,10,2014,22,1,ACRU,18.3,AS
CLT,B,20,10,2014,24,2,ACRU,11.1,AS
CLT,B,20,10,2014,25,1,ACRU,17.9,AS
CLT,B,20,10,2014,26,2,BEPA,33,AS
CLT,B,20,10,2014,26,1,BEPA,34,AS
CLT,B,20,10,2014,27,1,ACRU,17,AS
CLT,B,20,10,2014,28,1,BEPA,27.5,AS
CLT,B,20,10,2014,29,1,PIST,15.3,AS
CLT,B,20,10,2014,30,1,ACRU,22.2,AS
CLT,B,20,10,2014,31,1,PIST,20.8,AS
CLT,B,20,10,2014,32,1,BEPA,30.3,AS
CLT,B,20,10,2014,33,1,PIST,9.9,AS
CLT,B,20,10,2014,34,1,ABBA,13.2,AS
CLT,B,20,10,2014,35,1,PIST,10.1,AS
CLT,B,20,10,2014,36,1,ABBA,12.4,AS
CLT,B,20,10,2014,37,1,ACRU,15.5,AS
CLT,B,20,10,2014,38,1,PIST,10,AS
CLT,B,20,10,2014,39,1,ABBA,9.5,AS
CLT,B,20,10,2014,40,1,ACRU,22.8,AS
CLT,B,20,10,2014,41,1,ACRU,13.6,AS
CLT,B,20,10,2014,42,1,PIST,17.7,AS
NCL,A,16,10,2014,1,1,TSCA,15.2,DS
NCL,A,16,10,2014,2,1,TSCA,24,AS
NCL,A,16,10,2014,3,1,TSCA,12.2,AB
NCL,A,16,10,2014,4,1,TSCA,19.7,AS
NCL,A,16,10,2014,5,1,TSCA,10.6,DS
NCL,A,16,10,2014,6,1,TSCA,37.2,AS
NCL,A,16,10,2014,7,1,ACRU,27.2,AS
NCL,A,16,10,2014,8,1,PIRU,na,NF
NCL,A,16,10,2014,9,1,ACRU,na,DB
NCL,A,16,10,2014,10,1,ACRU,12,AS
NCL,A,16,10,2014,11,1,ACRU,13.9,AS
NCL,A,16,10,2014,12,1,PIST,32.7,AS
NCL,A,16,10,2014,13,1,TSCA,25,AS
NCL,A,16,10,2014,14,1,TSCA,na,DS
NCL,A,16,10,2014,15,1,PIRU,na,NF
NCL,A,16,10,2014,16,1,TSCA,33,AS
NCL,A,16,10,2014,17,1,TSCA,43,AS
NCL,A,16,10,2014,18,1,TSCA,23.8,AS
NCL,A,16,10,2014,19,1,TSCA,na,DF
NCL,A,16,10,2014,20,1,TSCA,na,DS
NCL,A,16,10,2014,21,1,TSCA,21.3,AS
NCL,A,16,10,2014,22,1,BEPA,18.2,AS
NCL,A,16,10,2014,23,1,TSCA,na,DS
NCL,A,16,10,2014,24,1,BEPA,22.7,AS
NCL,A,16,10,2014,25,1,BEPA,19.8,AS
NCL,A,16,10,2014,26,1,BEPA,21.4,AS
NCL,A,16,10,2014,27,1,BEPA,21.5,DS
NCL,A,16,10,2014,28,1,TSCA,48.9,AS
NCL,A,16,10,2014,29,1,TSCA,na,NF
NCL,A,16,10,2014,30,1,TSCA,29,AS
NCL,A,16,10,2014,31,1,TSCA,37.9,AS
NCL,A,16,10,2014,32,1,TSCA,43,AS
NCL,A,16,10,2014,33,1,TSCA,42.2,AS
NCL,A,16,10,2014,34,1,TSCA,10.1,AS
NCL,A,16,10,2014,35,1,PIRU,21.1,AS
NCL,A,16,10,2014,36,1,PIRU,na,DL
NCL,A,16,10,2014,37,1,PIRU,10.1,AS
NCL,A,16,10,2014,38,1,PIST,10.6,AS
NCL,A,16,10,2014,39,1,TSCA,14,AS
NCL,A,16,10,2014,40,1,TSCA,na,NF
NCL,B,2,10,2014,1,1,TSCA,21,AS
NCL,B,2,10,2014,2,1,POGR,26.1,AS
NCL,B,2,10,2014,3,2,ACRU,15.6,AS
NCL,B,2,10,2014,3,1,ACRU,18.8,AS
NCL,B,2,10,2014,4,1,ACRU,16.7,AS
NCL,B,2,10,2014,5,1,PIRU,32.2,AS
NCL,B,2,10,2014,6,1,POGR,39.5,DB
NCL,B,2,10,2014,7,1,TSCA,25.1,AS
NCL,B,2,10,2014,8,1,TSCA,9.7,DS
NCL,B,2,10,2014,9,1,TSCA,na,DS
NCL,B,2,10,2014,10,1,TSCA,na,DS
NCL,B,2,10,2014,11,1,TSCA,na,DF
NCL,B,2,10,2014,12,1,TSCA,28.4,AS
NCL,B,2,10,2014,13,1,POGR,34.3,AS
NCL,B,2,10,2014,14,1,TSCA,na,DS
NCL,B,2,10,2014,15,1,POGR,30.4,AS
NCL,B,2,10,2014,16,1,TSCA,17.6,AS
NCL,B,2,10,2014,17,1,TSCA,12.7,AS
NCL,B,2,10,2014,18,1,TSCA,na,DS
NCL,B,2,10,2014,19,1,TSCA,18.4,AS
NCL,B,2,10,2014,20,1,TSCA,40.8,AS
NCL,B,2,10,2014,21,1,BEPA,18.5,AS
NCL,B,2,10,2014,22,1,TSCA,na,DS
NCL,B,2,10,2014,23,1,TSCA,na,DF
NCL,B,2,10,2014,24,1,TSCA,11.2,AS
NCL,B,2,10,2014,25,1,TSCA,na,DS
NCL,B,2,10,2014,26,1,TSCA,17.4,AS
NCL,B,2,10,2014,27,1,BEPA,23.2,AS
NCL,B,2,10,2014,28,1,BEPA,18.5,AS
NCL,B,2,10,2014,29,1,TSCA,18.4,AS
NCL,B,2,10,2014,30,1,BEPA,na,DS
NCL,B,2,10,2014,31,1,TSCA,12.7,AS
NCL,B,2,10,2014,32,1,TSCA,na,DS
NCL,B,2,10,2014,33,1,BEPA,na,NF
NCL,B,2,10,2014,34,1,TSCA,30.9,AS
NCL,B,2,10,2014,35,1,TSCA,44.2,AS
NCL,B,2,10,2014,36,1,BEPA,21.9,AS
NCL,B,2,10,2014,37,1,PIRU,14.8,AS
NCL,B,2,10,2014,38,1,TSCA,17.6,AS
NCL,B,2,10,2014,39,1,TSCA,23,AS
NCL,B,2,10,2014,40,1,TSCA,na,DS
NCL,B,2,10,2014,41,1,BEPA,23.5,AS
NCL,B,2,10,2014,42,1,TSCA,16.8,AS
NCL,B,2,10,2014,43,1,PIRU,22,AS
NCL,B,2,10,2014,44,1,TSCA,na,NF
NCL,B,2,10,2014,45,1,PIRU,15.7,AS
NCL,B,2,10,2014,46,1,TSCA,na,DF
NCL,B,2,10,2014,47,1,BEPA,na,DF
NCL,B,2,10,2014,48,1,TSCA,13.5,AS
NCL,B,2,10,2014,49,1,BEPA,12.2,AS
NCL,B,2,10,2014,50,1,TSCA,16.6,AS
NCL,B,2,10,2014,51,1,TSCA,15.5,AS
NCL,B,2,10,2014,52,1,BEPA,na,NF
NCL,B,2,10,2014,53,1,PIRU,na,DF
NCL,B,2,10,2014,54,1,TSCA,18.6,AS
NCL,B,2,10,2014,55,1,TSCA,13.4,AS
NCL,B,2,10,2014,56,1,TSCA,10.7,AL
NCL,B,2,10,2014,57,1,PIRU,na,DL
NCL,B,2,10,2014,58,1,BEPA,19.5,AS
NCL,B,2,10,2014,59,1,PIRU,11.5,AS
NCL,B,2,10,2014,60,1,TSCA,15.8,AS
NCL,B,2,10,2014,61,1,TSCA,14,AS
NCL,B,2,10,2014,62,1,TSCA,12.9,AS
NCL,B,2,10,2014,63,1,PIST,52.2,AS
NCL,B,2,10,2014,64,1,TSCA,27.1,AS
NCL,B,2,10,2014,65,1,TSCA,na,DS
NCL,B,2,10,2014,66,1,TSCA,17.8,AS
NCL,B,2,10,2014,67,1,TSCA,19.5,AS
NCL,B,2,10,2014,68,1,POGR,na,DS
NCL,B,2,10,2014,69,1,PIRU,18.1,AS
NCL,B,2,10,2014,70,1,TSCA,27.8,AS
NCL,B,2,10,2014,71,1,TSCA,12,AS
NCL,B,2,10,2014,72,1,TSCA,10.4,AS
NCL,B,2,10,2014,73,1,ACRU,38,AS
NCL,B,2,10,2014,74,1,ACRU,26.4,AS
NCL,B,2,10,2014,75,1,POGR,na,NF
NCL,B,2,10,2014,76,1,PIRU,na,DF
NCL,B,2,10,2014,77,1,POGR,36.7,AS
NCL,B,2,10,2014,78,1,TSCA,na,DS
NCL,B,2,10,2014,79,1,TSCA,18,AS
NCL,B,2,10,2014,80,1,POGR,na,DS
NCL,B,2,10,2014,81,1,POGR,33.4,AS
PL,A,22,9,2014,1,1,ACRU,14.8,AS
PL,A,22,9,2014,2,1,TSCA,26.5,AS
PL,A,22,9,2014,3,1,BEPA,na,DF
PL,A,22,9,2014,4,1,ACRU,10.1,AS
PL,A,22,9,2014,5,1,TSCA,16.1,AS
PL,A,22,9,2014,6,1,ACRU,17,AS
PL,A,22,9,2014,7,1,TSCA,18.3,AS
PL,A,22,9,2014,8,1,TSCA,10.5,AS
PL,A,22,9,2014,9,1,TSCA,18.6,AS
PL,A,22,9,2014,10,1,ACRU,na,DS
PL,A,22,9,2014,11,1,TSCA,20.9,AS
PL,A,22,9,2014,12,1,TSCA,14.6,AS
PL,A,22,9,2014,13,1,QURU,24,AS
PL,A,22,9,2014,14,1,TSCA,13.1,AS
PL,A,22,9,2014,15,1,TSCA,14.4,AS
PL,A,22,9,2014,16,1,PIST,18.9,AS
PL,A,22,9,2014,17,1,ABBA,13.1,AS
PL,A,22,9,2014,18,1,ACRU,19.2,AS
PL,A,22,9,2014,19,1,BEPA,na,DB
PL,A,22,9,2014,20,1,BEPA,na,DF
PL,A,22,9,2014,21,1,ACRU,14.8,AS
PL,A,22,9,2014,22,1,ACRU,11.9,DL
PL,A,22,9,2014,23,1,ACRU,na,DF
PL,A,22,9,2014,24,1,QURU,na,DF
PL,A,22,9,2014,25,1,PIST,31.6,AS
PL,A,22,9,2014,26,1,PIST,33,AS
PL,A,22,9,2014,27,1,TSCA,14,AS
PL,A,22,9,2014,28,1,TSCA,16.6,AS
PL,A,22,9,2014,29,1,PIST,58.5,AS
PL,A,22,9,2014,30,1,TSCA,17.2,AS
PL,A,22,9,2014,31,1,PIST,10.1,AS
PL,A,22,9,2014,32,1,QURU,26.3,AS
PL,A,22,9,2014,33,1,ACRU,12.4,AS
PL,A,22,9,2014,34,1,ACRU,18.9,AS
PL,A,22,9,2014,35,1,PIST,9.6,DS
PL,A,22,9,2014,36,1,QURU,25.3,AS
PL,A,22,9,2014,37,1,ACRU,17.8,AS
PL,A,22,9,2014,38,1,TSCA,18.8,AS
PL,A,22,9,2014,39,1,PIST,11.5,DS
PL,A,22,9,2014,40,1,ACRU,14.1,AS
PL,A,22,9,2014,41,1,BEPA,22,AS
PL,A,22,9,2014,42,1,TSCA,29.7,AS
PL,A,22,9,2014,43,1,BEPA,19,DS
PL,A,22,9,2014,44,1,PIST,na,DS
PL,A,22,9,2014,45,1,QURU,na,DF
PL,A,22,9,2014,46,1,BEPA,13.1,AS
PL,A,22,9,2014,47,1,QURU,21.4,AS
PL,A,22,9,2014,48,1,PIST,16.4,AS
PL,A,22,9,2014,49,1,ACRU,15.1,AS
PL,A,22,9,2014,50,1,ACRU,13.5,AS
PL,A,22,9,2014,51,1,POGR,19.7,AS
PL,A,22,9,2014,52,1,TSCA,17.1,AS
PL,A,22,9,2014,53,1,ACRU,10,AS
PL,A,22,9,2014,54,1,TSCA,11.7,AB
PL,A,22,9,2014,55,1,BEPA,16.7,AS
PL,A,22,9,2014,56,1,BEPA,16.6,AS
PL,A,22,9,2014,57,1,ACRU,11,AS
PL,A,22,9,2014,58,1,QURU,18.6,AS
PL,A,22,9,2014,59,1,ACRU,13.1,AS
PL,A,22,9,2014,60,1,ACRU,16.7,AS
PL,A,22,9,2014,61,1,BEPA,na,DF
PL,A,22,9,2014,62,1,TSCA,18.6,AS
PL,A,22,9,2014,63,1,TSCA,11.4,AS
PL,A,22,9,2014,64,1,ACRU,12.4,AS
PL,A,22,9,2014,65,1,TSCA,13.8,AS
PL,A,22,9,2014,66,1,TSCA,13,AS
PL,A,22,9,2014,67,1,TSCA,9.3,AS
PL,B,1,10,2014,1,1,QURU,na,DF
PL,B,1,10,2014,2,1,QURU,17.2,DS
PL,B,1,10,2014,3,1,QURU,27.7,AS
PL,B,1,10,2014,4,1,POGR,21,AS
PL,B,1,10,2014,5,1,POGR,15.9,DB
PL,B,1,10,2014,6,1,ACRU,na,NF
PL,B,1,10,2014,7,1,ACRU,12.7,AS
PL,B,1,10,2014,8,1,ACRU,11.4,AS
PL,B,1,10,2014,9,1,ACRU,na,DS
PL,B,1,10,2014,10,1,POGR,26.3,AS
PL,B,1,10,2014,11,1,PIST,15.6,AL
PL,B,1,10,2014,12,1,POGR,29.4,AS
PL,B,1,10,2014,13,1,POGR,na,DB
PL,B,1,10,2014,14,1,PIST,20.4,AS
PL,B,1,10,2014,15,1,PIST,32.6,AS
PL,B,1,10,2014,16,1,PIST,34.2,AS
PL,B,1,10,2014,17,1,BEPA,na,DS
PL,B,1,10,2014,18,1,POGR,24.1,AS
PL,B,1,10,2014,19,1,POGR,26.5,AS
PL,B,1,10,2014,20,1,BEPA,na,DS
PL,B,1,10,2014,21,1,PIST,37.6,AS
PL,B,1,10,2014,22,1,BEPA,16.7,AS
PL,B,1,10,2014,23,1,QURU,21.6,AS
PL,B,1,10,2014,24,1,QURU,na,NF
PL,B,1,10,2014,25,1,QURU,26.1,AS
PL,B,1,10,2014,26,1,PIST,19.3,AS
PL,B,1,10,2014,27,1,PIST,na,DB
PL,B,1,10,2014,28,1,BEPA,na,DB
PL,B,1,10,2014,28,1,BEPA,17.9,AS
PL,B,1,10,2014,29,1,BEPA,na,DB
PL,B,1,10,2014,30,1,BEPA,19.8,DS
PL,B,1,10,2014,31,1,PIST,10.3,DB
PL,B,1,10,2014,32,1,PIST,14.7,AS
PL,B,1,10,2014,33,1,PIST,23.8,AS
PL,B,1,10,2014,34,1,QURU,na,DF
PL,B,1,10,2014,35,1,QURU,na,NF
PL,B,1,10,2014,36,1,PIST,22,AS
PL,B,1,10,2014,37,1,QURU,na,DF
PL,B,1,10,2014,38,1,PIST,22.2,AS
PL,B,1,10,2014,39,1,PIST,28.3,AS
PL,B,1,10,2014,40,1,PIST,11.1,AS
PL,B,1,10,2014,41,1,PIST,29.1,AS
PL,B,1,10,2014,42,1,POGR,29.3,AS
PL,B,1,10,2014,43,1,BEPA,na,DB
PL,B,1,10,2014,44,1,POGR,22.1,AS
PL,B,1,10,2014,45,1,PIST,10.1,AS
PL,B,1,10,2014,46,1,BEPA,na,DB
PL,B,1,10,2014,48,1,QURU,24.5,AS
PL,B,1,10,2014,49,1,QURU,18.8,AB
PL,B,1,10,2014,50,1,QURU,20.9,AS
PL,B,1,10,2014,51,1,ACRU,21,AS
PL,B,1,10,2014,52,1,PIST,36,AS
PL,B,1,10,2014,53,1,PIST,44.8,AS
PL,B,1,10,2014,54,1,BEPA,na,DB
PL,B,1,10,2014,55,1,BEPA,15.5,AS
PL,B,1,10,2014,56,1,ACRU,10.3,AS
